Name,shortname,Parent,Type,Description,Population,AU,Languages,Source
Habitat On The Rock,,Kuiper Belt,Habitat,"Addison Hütz’s great dream was for transhumanity to experience the widest, most prized and unique collection of music, art, Earth paraphernalia, and exotic items in the universe (for a modest fee). Hütz’s dream became reality in Habitat on the Rock. Part ice castle, part scrapyard, it is considered a work of art in its own right. As curators acquire new materials and architectural plans, Habitat on the Rock takes on its own life and sprouts further from its original asteroid foundation.

Most of the old-Earth collection is made up of quality replicas, many hand-made, but a few items have been validated as original artifacts. The exotic collection purportedly includes Factor and other alien cadavers, a zoo of genetic samples, fragments of the original K-T asteroid, and a captured TITAN. Vast libraries of digital music and simulspace environments are available to the public for free.

Habitat on the Rock is in the black and white markets for collectibles. Curators hire out to freelancers to collect specific targets. Outside of the museum grounds, the habitat is entirely off-limits to visitors. The area is well defended and luxurious, with an inexplicably high volume of traffic. The cost of maintaining the collection far outstrips its income. Analysts have suggested Habitat on the Rock either has a private benefactor or runs a secret secondary business.",2500,35,"English, Mandarin",RW.140
Haumea,,Kuiper Belt,Habitat,"The glistening white surface of Haumea is marred by a massive red crater, the site of an ancient collision which sent the planetoid into a dizzying four-hour rotation. Bloody gouges around the interior of the crater mark a small mining camp. The camp is the home base of the Măfēng gang, a group of miners, pirates, and full-time opportunists. Măfēng scratches out a meek living from the rock, but its main interest lies in brutal raids against anyone unlucky enough to get close. In support of their operations, Măfēng has set up sensor stations and defensive batteries on both of Haumea’s moonlets.

The dwarf planet’s eccentric orbit, rotation, lack of reported mineral wealth, and presence of aggressive pirates has made it commercially unappetizing. It is rumored that Haumea is the location of the closely guarded argonaut stronghold, Markov, though the presence of the Măfēng gang makes inquiries difficult, and similar rumors of other KBOs have proven false.",,35,Cantonese,RW.140
Markov,,Kuiper Belt,Habitat,"The location of Markov is known only to the highest ranking members of the argonaut faction. The habitat is the faction’s primary stronghold in the outer rim. Markov’s secrecy and impressive computing capabilities have made it the home to a number of sensitive argonaut experiments, in both virtual and physical laboratories, in the fields of propulsion, Lorentzian manifolds, quantum mechanics, biomechanics, cognitive science, and other cutting-edge areas.

Publicly available specs indicate a series of coiled tunnels and caves, dug from the inner, rocky core of a large asteroid or planetoid. Most of the interior is flooded with a per fluorocarbon suspension, which hides the low-density characteristic of the habitat and provides thermal dissipation for the massive computer cores. Markov hosts the Library, the primary backup archives for the argonauts. The servers are also home to the Medean Apollo project, a massive data-gathering and pattern-matching predictive service that has earned the faction’s paramilitary arm, the Medeans, a reputation for precognition.

The majority of Markov’s population is made up of infomorphs and AGIs. Biomorphs customized for the cold can survive in the per fluorocarbon stew with only minor implants.",3000,,"English, French, German",RW.140
Frozen Dreams,,Kuiper Belt,Habitat,"The comet chaser Frozen Dreams made headlines nearly a year ago, when it was found drifting in space, its crew missing. Investigators discovered remnants of a foreign nanoswarm with a structure alien to any known line of nanotechnology. Very little information about where the swarm was picked up exists, as the silicon and carbon in the ship’s computer systems was chemically eaten out, rendering servers useless, and no other logs exist. Soon after the discovery was publicized by the argonauts, various factions laid claim to Frozen Dreams. For now, the ship is being held by the argonauts for further study. Concerns over a possible second attack are pressuring researchers to shift the experiments from virtual to physical environments, though appropriate controls have not yet been fully established.",,48,"English, Swahili",RW.141
Whiskey Station,Whiskey,Kuiper Belt,Habitat,"Whiskey is one of the last outposts of frontier capitalism. Residents say it is the farthest civilized station in the system, though both claims are questionable. Lax governance has grown industries around the making and loss of quick money. The runt habitat is crammed to the coil guns with polyglot marketplaces, back rooms, and the stink of poorly maintained morphs. Visitors know it for poker, prostitutes, and the privacy to enjoy both at the old Earth-style saloon, Terminal.

A score of hypercorps benefit from the relative peace and accessibility offered by the station, maintaining offices there. Whiskey is also a major node in Firewall, known to house several proxies and much of Firewall’s local intelligence-gathering capabilities.

The habitat is surrounded by a cloud of free-floating gun batteries. Clusters of heavy communication equipment are stationed ten kilometers off either end of the habitat. Whiskey is maintained by an anonymous executive council, which works to enforce the habitat’s independence. The Intelligent Design Crew and the locally grown Boulanger Family compete for dominance in the local markets. The executive council does not interfere with the conflict as long as collateral damage is kept to a minimum.",12500,37,"English, Hindi, Mandarin",RW.141
Eris,,Kuiper Belt,Body,"Eris is the dark jewel in Go-nin’s crown. Seized from the anarchist Ilmarinen commune, the planetoid is littered with the remains of several major battles over control of the Discord Gate. Go-nin, with the assistance of the ultimates, currently hold the dwarf planet and gate, though ownership is still a matter of contention. Go-nin manages the infrastructure and habitat, Torii, while the ultimates provide the military strength and orbital firepower to hold it.

The interior of the planetoid is worm-eaten with twisting tunnels. Most of the tunnels are believed to already have been discovered and mapped, but occasionally when parties are dispatched after disappeared personnel, new passages are revealed.

Other than a few trawling miners and automated roving surveybots, the surface of Eris is serene and abandoned. A net of orbital surveillance stations and ordinance watch the skies within 500,000 kilometers for anything larger than a baseball and for the tell-tale blaze of distant battleships.",,55,,RW.142
Pluto,,Kuiper Belt,Body,"The largest object in the classical Kuiper belt, Pluto is still small enough to  t in the space between Elysium City and Airy-0 Crater on Mars. The dwarf planet holds a few valuable nuggets of heavy metals in its rocky core, for anyone willing to mine through hundreds of kilometers of ice to get to it. Pluto is accompanied by Charon, broadly called its moon, but the two are a binary object, pirouetting around a shared point in space. Pluto and Charon support a small group of mining colonies, mostly independent, who alternate from allies to enemies and back again on the turn of the cosmic wind. Pluto has a small number of moonlets, which is where entrepreneurs go to die when they can’t compete.",,39,,RW.142
Tulihänd,,Pluto,Habitat,"Balanced between the tidally locked faces of Pluto and Charon is the private mining station, Tulihänd. The habitat oversees the largest mining and comet-catching operation on the outer rim. Massive crawlers strip-mine local planetoids and Kuiper Belt objects, extract ore, minerals, and organics, and launch them back to Tulihänd. After refinement, the raw materials are nano forged into automated scows and launched to the next collection point. Despite automated defenses and secrecy around launch timetables and buyers, the scows leaving Tulihänd are popular targets for pirates.

Tulihänd residents have a reputation for bellicose saber-rattling and bluntness, but a strong work ethic. The persistent threat of insiders sabotaging operations for profit has made the inhabitants chronically suspicious. Conflicts between management and labor are common. A suggestion of wrongdoing is enough for invasive questioning and neural mapping by management. Agents operating in the area are suggested to undergo memory editing, to prevent the possible leakage of sensitive information. Despite expectations, outside threats have bound Tulihänd into a tight technosocialist republic.",9000,48,"Estonian, Russian",RW.142
The Oort Cloud,,,Region,"The Oort Cloud is a sphere of dust and asteroids that extends to the edge of the gravitational reach of the sun. The difficulties of life without infrastructure in the Kuiper Belt are compounded in the Oort Cloud. Because of this, the transhuman population in the Oort Cloud is less than 15,000, almost all restricted to a handful of ships and research outposts within the Inner Oort Cloud.

The Inner Oort Cloud, from 2,000 to 5,000 AU, marks the outermost expansion of transhumanity. Several millions of asteroids are documented, ranging from a few meters to 2,000 kilometers across. Resources include ice, organics, minerals, and, due to heavy exposure to cosmic wind, a number of rare elements including lithium and boron, though commercial mining is unfeasible.

The Outer Oort Cloud extends to 150,000 AU from the sun to interstellar space. The Outer Oort Cloud has been the subject of significant scienti c scrutiny as the frontier for astronomy, physics, and spaceflight. Only three pre-Fall probes have breached the area; it otherwise remains beyond the reach of transhumanity. The Outer Oort Cloud is scanned by hundreds of thousands of professional and amateur telescopes, watching for the return of the TITANs or the arrival of Factor lighthuggers.",15000,2000,,RW.144
Aarhus,,Titan,Habitat,"Located near Titan’s south pole on the shores of Ontario Lacus, a wide, shallow sea of liquid methane, Aarhus (population five million) was the rst site of human habitation on Titan, chosen for its proximity to abundant hydrocarbons. The city is the physical hub of Titan Autonomous University (TAU) and hosts numerous other academic institutions, most notably Titan Tech, a major engineering school. Unlike Martian universities, which have few physical campus buildings, TAU and other Titanian schools draw many of their students from the widely scattered habitats of the outer system, where delays in radio communication make distance learning ineffective. Fully 20% of Aarhus’s population are students, many of them offworlders.

Aarhus’s layout is typical of Titanian cities. Three central domes are surrounded by numerous smaller structures, including lesser domes, fusion plants, and industrial outbuildings, the most massive of which is the now-abandoned methane utility plant on the lake shore. The dome interiors are hung with lighting rods and heavily built up with tall, narrow buildings, most of which have upper decks where hazers on the wing and pedal-powered microlights can land. Exterior structures usually have outer walls built of ice for shielding and structural support with internal walls extruded from local silicates. Many buildings are a rich azure or other shades of blue for contrast with the ever-present orange glow of the Titanian sky.

Unlike most Titanian cities, Aarhus relies primarily on fusion power. Aarhus is the center of Titan’s native preservationist movement, which opposes inefficient use of native hydrocarbon resources due to possible long term effects on Titan’s climate.",5000000,,,"EP.106, RW.106"
New Quebec,,Titan,Hab,"New Quebec lies on a plain in the Aaru region surrounded by endless rippling dunes shaped by Titan’s powerful winds. The region’s diverse chemical resources supply the colossal nurseries that have made New Quebec the system’s largest single producer of morphs.

The city is 50 kilometers from Montmorency Lacus, a 20 kilometer-wide crater lake of liquid ethane and methane. Originally thought to be an impact crater, rare on Titan, geological studies later showed it to be the collapsed remains of an extinct cryovolcano. Situated in a rainy area, the lacus slowly drains over the crater lip at Montmorency Cascade, a 200-meter carbonfall that empties into a series of alluvial channels from which the Quebecoise pump its output for fuel.

The St. Catherine Tong, the most dangerous native Titanian mob, is based in New Quebec. Titanian law is generally very permissive regarding individual freedoms, so the vices this gang trades in are of the blackest: snuff pods, stolen alpha forks, and nanoweaponry. A ready supply of fresh morphs bought from corrupt microcorp nursery administrators further fuels their rackets. The Tong is extremely violent and a major embarrassment to Commonwealth security forces.",,,,"EP.106, RW.107"
Nyhavn,,Titan,Habitat,"Set near the equator amid the rolling ice hills of the Xanadu region, Nyhavn (population 12 million) is the largest city in the outer system and the capital of the Titanian Commonwealth. Nyhavn’s massive central dome, with its elegant blue towers and bioengineered parklands, rivals New Shanghai in size and ambition. Three surrounding domes and a sprawl of subsidiary structures are connected by high-clearance flyways, where ground vehicles and microlights form a steady stream of traffic at all hours. At the same time, the squalid blandness that prevails in the Martian suburbs and outlying souks is absent; the dwellings and neighborhoods of the Titanian working class display a riot of color and design, empowered by public fabricators limited by none of the enforced scarcity of Martian economics. For all its idealism, the Plurality is not immune to a desire to showcase its achievements.

Outside the city is a pipeline leading from the vast Tyska Lacus, 100 kilometers distant. Commonwealth Skyport, Titan’s principal spaceport, offers quick access to Commonwealth Hub, the Titan system’s long-haul space dock, located in geostationary orbit above the city. The surrounding countryside is dotted with smaller settlements connected to Nyhavn by trains and a well-developed network of surface roads.

Nyhavn is a major media center, with daily life closely attentive to the debates and decisions of the Plurality. At the same time, it is a cosmopolitan place, where Titan’s microcorp movers rub shoulders with visiting anarchist traders and (less commonly) legations from the inner system. There is an active underworld, despite the efforts of security forces, with the local St. Catherine Tong engaged in continual low-intensity warfare with triads from throughout the system.",12000000,,,"EP.106, RW.104"
Pheobe,,Titan,Body,"After the conflict at Locus, the Plurality became embroiled in a hot debate regarding the dangers of hypercorp adventurism in the outer system. It was generally felt that the Planetary Consortium hoped to keep the outer system in a position similar to where the United States kept Latin America by meddling in its affairs throughout the nineteenth and twentieth centuries, and that the only counter to this was a show of force. Titan’s thick atmospheric haze makes ground-based space defense systems considerably less effective than on other worlds, but satellites and space platforms were too vulnerable to serve as command and control centers.

The solution was to capture three of Saturn’s small retrograde moons—Phoebe, Skathi, and Abramsen (once designated S/2007 S 2, now renamed after a pioneering Titanian economist). Phoebe is the largest of the three objects. The other two were maneuvered into the system’s L4 and L5 points. The calculations required to relocate these bodies were painstaking and the energy expenditure tremendous, but all three now serve as major components of Titan’s orbital defense grid. Whether the system created thereby is impregnable has yet to be tested.",,,,EP.107
Shackleton-New Veranasi,Shackle,Luna,Habitat,"Shackle (population 6 million), built in and around the south polar Shackleton crater, is centered on one of two major water extraction operations on Luna. New Varanasi, the city of temples, is the most impressive section of the city. Shackle was the other major site of old Indian influence on Luna, and with the destruction of New Mumbai holds special importance to descendants of the Indian diaspora. New Varanasi is a monumental artifiicial cavern complex with an intricate canal system fed by melted ice from the polar caps above. As a source of lifegiving water, it now holds the same importance to the hindu faith once ascribed to the River Ganges on old Earth. Survivors of other Indian religions, such as the jains and sikhs, have also made their temples here. This makes Shackle a major pilgrimage site; tourism is the major industry after water extraction. A small herd of Indian elephants is a major attraction, and the elephant god Ganesha, Remover of Obstacles, is extremely popular on Luna, even with non-hindus.",6000000,,,EP.93
