name,shortname,type,description,cost,minimum,blueprints,source,mobility,effect,Skills,stats,conditional,armor,replaces,weapon,movement,morphs
Personal Power Plant,,Personal Augmentation,"For gatecrashers worried about being trapped on an exoplanet with no source of food, this nanoware system provides a solution. The nanobots in this system are powered by the isotope gadolinium-148. They transfer this nuclear energy to the body so that it is absorbed in a safe and consistent manner. This effec-tively fuels the body without the need to eat. With a half life of 78 years, the character can go for a century and possibly longer without regularly eating. A tiny bit of food consumption is still necessary to replace cells, though a small food stash could literally be stretched out for years. Likewise, vitamin and protein supplements would be necessary for long-term health, but as an alternative to starving to death, the personal power plant cannot be beat.",Expensive,,FALSE,GC.155,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Possum Cache,,Personal Augmentation,"This augmentation may only be applied to morphs with a cyberbrain, ghostrider module, or monitor module. It enables an ego therein to continue using its access jacks, cyberbrain/module, and mesh inserts while hibernating or dead. It includes a backup power unit that kicks in when the cyberbrain or module stops receiving sufficient power from the morph's body. The access jacks, cyberbrain/module, and mesh inserts may continue to operate for 48 hours after the morph hibernates or dies. If the morph has the multitasking augmentation, it continues to function, but all other augmentations are inactive and cannot be used. Egos active in a dead/hibernating morph via a possum cache retain the morph's aptitude modifiers but do not suffer from the morph's wound penalties. Operating in this mode is stressful due to sensory deprivation. Every 24 hours the ego runs on a possum cache, it must make a WIL x 3 Test. Failure inflicts 1d10 SV. If the morph was killed/destroyed by head trauma, or if it takes more than 5 DV of damage to its head after death, the cyberbrain is considered destroyed, or at least too damaged to function properly. Note that damage from popping a stack does not count toward this total, but damage from intentionally burning a stack out (e.g., with an agonizer) does. Death or voluntary entry into hibernation are the only circumstances under which this augmentation functions. In case of any other game effect that would render the morph unconscious, this augmentation has no benefit. If the morph contains multiple cyberbrains or modules, the augmentation must be bought separately for each.",High,,TRUE,TH.197,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
QE Comm,,Personal Augmentation,"This is an implanted version of the portable QE comm (p. 315, EP) with a low-capacity qubit reservor. Due to the size of the qubit reservoir, it must usually be implanted in the thoracic cavity. Though uncommon, this implant is sometimes used by moles that require a covert method of communication.",Expensive,,FALSE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Radar Absorbent,,Personal Augmentation,"The shell is constructed with materials that either pass, absorb, or trap radar and terahertz waves, reducing its sensor signature. Though sensor processing has improved significantly, radar absorbent materials can still provide some protection from detection. Apply a -20 modifier to detect the shell with radar and tera-hertz frequencies. This mod is compatible with the reduced signature mod.",Moderate,,TRUE,PO.149,,,,,FALSE,,TRUE,,,Synthmorph
Radar Invisibility,,Personal Augmentation,"This shell is coated with a layer of radar-transparent metamaterials with a negative refractive index. It is effectively invisible to radar waves; they simply bend around the shell as if it were not there. The shell cannot be detected by radar, but is visible at other frequencies. This mod is not compatible with the invisibility, radar absorbent, or reduced signature mods, nor may it be used in conjunction with an invisibility cloak. Shells with this mod cannot detect radar themselves.",Expensive,,FALSE,PO.150,,,,,FALSE,,TRUE,,,Synthmorph
Radiation Shielding,,Personal Augmentation,"This enhancement hardens the morph to exposure from electromagnetic and ionizing radiation. This will protect the morph in most situations that would be harmful to others, but at the gamemaster's discretion is only of limited effectiveness against extremely powerful sources of radiation (such as Jupiter's electromagnetic field) over prolonged periods.",High,,TRUE,SW.167,,,,,FALSE,,TRUE,,,Synthmorph
Radiation Tolerance,,Personal Augmentation,"This mod may only be installed in morphs with medichines. The biomorph's DNA is redundantly encoded and vital tissues are actively replaced. Additionally, vital systems are protected with special shielding sleeves and blood filters, and many chemical processes are reinforced against disruption. The morph can survive radiation exposure thirty times as effectively as if unaugmented.",Expensive,,FALSE,RW.189,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Recharge Pack,,Personal Augmentation,This is a backpack sized refueling and recharging station for swarms and microbots.,Low,,TRUE,TH.214,,,,,FALSE,,TRUE,,,Synthmorph
Reconfigurable Proprioception,,Personal Augmentation,"Flexbots with the reconfigurable proprioception enhancement can instantaneously reconfigure the location and degrees of freedom in their joints, allowing amazing feats of balance and movement. The flexbot receives a +20 modifier on all Escape Artist Tests, a +10 on Freerunning Tests, and a +10 on Fray Tests against melee attacks and thrown weapons. Flexbots with this mod can even use their multi-jointed limb structure to get around opponents' guards in melee, like a flail. The bot gains a +10 on melee attacks and can ignore some physical obstacles (e.g., taking a swing at an opponent who's ducked around a corner). This bonus applies only against opponents who are defending themselves.",Expensive,,FALSE,TH.211,,,"Unarmed Combat 10, Clubs 10, Blades 10, Freerunning 10, Fray 10",,TRUE,,TRUE,,,Synthmorph
Reduced Signature,,Personal Augmentation,"This shell has been structurally modified to provide a much smaller radar cross-section. Shells with this modification have a very obvious streamlined, rounded and/or angular look, with no bulky pods or modules. External engines are instead incorporated into the frame. This enhancement is normally only applied to winged, rotorcraft, ionic, or thrust vector shells; apply a -30 modifier to detect these shells with radar and terahertz frequencies. For all other shells, a -10 modifier is applied. This modifier may not be applied to hoppers, tracked shells, or walkers while they are moving, as their mobility systems negate the advantage. The modifier from this enhancement is cumulative with the radar absorbent enhancement.",High,,TRUE,PO.149,,,,,FALSE,,TRUE,,,Synthmorph
Scent Affinity,,Personal Augmentation,"This modification may only be applied to smart animals. This particular animal has been modified to identify and trust a particular scent or pheromonal signature. Anyone giving off this particular olfactory signature receives a +30 modifier to Animal Handling Tests against this creature, assuming the critter can smell them. Trainers, smart animal handlers, and wealthy owners use this bioware to maintain better control over their pets/investments.",Trivial,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Shockwave Shield,,Personal Augmentation,"Shockwave Shields can calculate the impact point of an explosive projectile or shockwave and create a temporary superheated pocket of air with a laser-generated electric arc that will absorb the blast. This provides 20 points of Energy Armor against blast effects, including seekers and grenades. This is only effective against attacks that have been spotted, and may only be used against one attack per Action Turn. This shockwave shield has 20 uses before it must be recharged, which takes 2 hours.",,,FALSE,XR.149,,,,,TRUE,20/0,FALSE,,,Synthmorph
Skeletal Disguise,,Personal Augmentation,"This implanted nanobot system is designed to disguise a subject's skeletal structure and create false sensor readings, either to avoid identification or to mimic an existing skeletal pattern. An existing pattern can only be mimicked if the character is of equivalent body mass and size. Altering the skeletal signature takes 20 minutes. Apply a -30 modifier to the scanner system's Perception Test.",Expensive,,FALSE,PO.149,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Skillware,,Personal Augmentation,"The morph's brain is laced with a network of artificial neurons that may be formatted with downloaded information. This allows the user to download skillsofts into their brains, gaining the use of those programmed skills until the skillsoft is erased or replaced. Skillware systems are only capable of handling 100 total skill points worth of skillsofts at a time.",High,,TRUE,EP.309,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Skinlink,,Personal Augmentation,"Skinlink nanobots live on the morph's external skin or shell, automatically swarming over and creating a physical connection with any electronics the user touches. They also take advantage of the electrical field in a biomorph's skin for communication. They allow the user to communicate and mesh with any devices merely by touching them. This is considered a wired link, and so is not subject to wireless interception or interference. Two skinlinked characters can also communicate and mesh simply by touching.",Moderate,,TRUE,EP.309,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Smart Swarm,,Personal Augmentation,"The modular drones in this swarm are capable of forming shapes. A standard swarm can form a 1-meter tall body or base with up to 4 half-meter limbs. These limbs can engage in very limited physical activity and tool use. They are considered to have an aptitude maximum of 5 for COO, REF, and SOM. For strength/size-related options (p. 96), their Durability is halved. Any skill use involving leverage, strength, or fine dexterity suffers a -30 modifier or may not be possible (gamemaster discretion). Shaped swarms can manipulate gear that is small in size (see Gear Sizes, p. 297, EP) or smaller without penalty. They suffer a -30 modifier for manipulating medium-sized gear and cannot use larger gear. Shapes can be targeted in combat, though they usually gain the Small Size advantage (p. 95). A shaped swarm takes normal physical damage rather than following the combat rules for nanoswarms. ",High,,TRUE,TH.198,,,,,FALSE,,TRUE,,,Synthmorph
Smart Wings,,Personal Augmentation,"This augmentation consists of a smart material coating on the morph's arms. With a Quick Action, the synthmorph can extend or retract smart-material wings with a wingspan of 8 meters. In normal atmospheric pressure, the synthmorph can fly at speeds of up to 100 kph as long as the surface gravity is less than 0.15 g. They may also be used for gliding (see Gliding Membranes, p. 166, Sunward). When retracted, this augmentation is hidden. This mod is very common for synthmorphs on Titan and in various large low gravity habitats throughout the outer system. Large or heavy morphs may not use it.",Low,,TRUE,RW.186,Winged,,,,FALSE,,TRUE,,,Synthmorph
Smell Filter,,Personal Augmentation,With this implant morphs can fine tune the information provided by the bioware Enhanced Smell as if it was the Cyberware version. ,Low,,TRUE,PO.149,,+20 olfactory perecption,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Sound System,,Personal Augmentation,The character can emit sound through several concealed speakers in the morph. The sound system can go up to 200 decibels and reach a much wider frequency than standard transhuman hearing can pick up.,Trivial,,TRUE,TH.199,,,,,FALSE,,TRUE,,,Synthmorph
Squish Bot,,Personal Augmentation,"The flexbot is of soft, flexible construction, consisting of reconfigurable parts in a liquid matrix with a soft outer skin. The flexbot must have the shape adjusting augmentation to take this augmentation. All shapeadjusting tasks take half the usual time. The flexbot may squeeze itself through holes as small as 10 centimeters in diameter, though doing so may require as long as a minute for the bot to extend itself into a long, narrow shape. Squishbots do not benefit from inherent synthmorph armor or from robotic armor, but they may have bioweave armor.",Expensive,,FALSE,TH.211,,,,,FALSE,,TRUE,,,Synthmorph
Swim Bladder,,Personal Augmentation,"This transgenic organ is a series of gas-filled sacs that allow the character to control their buoyancy underwater. This bladder is also linked to the inner ear, enabling the character to accurately gauge water pressure/depth and also improving their hearing underwater (+10 to hearing based Perception underwater).",Low,,TRUE,GC.154,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Truth Filters,,Personal Augmentation,Truth filters can only be used with a cyberbrain or mesh inserts. This module scrambles the signals read from subject's brain in such a way as to make digital deception scanners (p. 176) worthless. A character with this implant will automatically succeed on Deception Tests against such scanners. Truth filters offer no protection against analog deception scanners.,Trivial,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Ultrasound Link,,Personal Augmentation,This swarm communicates by ultrasound. Rage 50m in atmosphere. +30 to detect swarm when using enhanced hearing.,Moderate,,TRUE,TH.214,,,,,FALSE,,TRUE,,,Synthmorph
Viewers,,Personal Augmentation,"These small and highly advanced binoculars possess all the visual enhancement of specs, but also provide 50x magnification. They also include a directional microphone that magnifies sound from the direction the viewers are pointed by a factor of 50. Viewers provide the user with a +30 bonus to all Perception Tests involving vision or hearing for the target they are aimed at. This bonus is not cumulative with bonuses from any other device or augmentation.",Low,,TRUE,EP.326,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Implanted Nanotoxin,,Nanoware,"The morph has an implanted nanobot hive that produces nanotoxins. This implant is designed so that the character can deploy these nanobots instantly via a scratch with claws, spraying with saliva, or simply making continuous bare-skin contact. Characters can choose whether or not to deploy these nanobots. Each nanotoxin generator only produces a single variety of nanobots, with the most common types being ones designed to kill or incapacitate almost any living target or ones designed to destroy delicate machinery. Characters are immune to their own nanotoxins. Nanotoxins are highly restricted and many habitats will not allow anyone with this implant on board.",Variable,,TRUE,EP.308,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Medichines,,Nanoware,"This is the most common form of nanoware. These nanobots monitor the user's body at a cellular level and fix any problems that arise. Medichines eliminate most diseases, drugs, and toxins (but not nanodrugs or nanotoxins) before they can do more than minor harm to the host (see Drug Effects). If desired, the user can temporarily override this protection to permit intoxication or other effects, but unless the character activates a second specially labeled override, medichines prevent the toxins from accumulating to lethal or permanently harmful levels. In this case, they can also be activated at a later point to reduce a drug or toxin's remaining duration by half. Medichines allow the character to ignore the effects of 1 wound. They also speed normal healing as noted under Biomorph Healing. If the user suffers 5 or more wounds at once, or more than 6 wounds in an hour, the damage has exceeded the medichines' ability to repair. In this case, the medichines place the character into a medical stasis, where their mind and body are perfectly preserved, but where the character cannot act in any way. Under these circumstances the medichines also send out a priority call for emergency services via the character's mesh inserts. Medichines for synthmorphs and bots consist of nanobots that monitor and repair the shell's integrity and internal system functions. Note that the synthmorph version of medichines allows the synthmorph to self-repair in the same manner by which a biomorph with medichines would naturally heal.",Low,,TRUE,EP.308,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Mental Speed,,Nanoware,"With this nanoware system, nanobots alter the character's neural architecture and augment the functioning of their neurons. The character can deliberately speed up their mind to think and also receive and process sensory information far faster than ordinary humans. Time seems to subjectively slow down for the character, allowing them to carefully plan their next action, even if they only have a split second to do so. With this system active, the character can discern things occurring too fast for a normal human to perceive, such as the individual frames of an old analog film or understanding sounds that were accelerated to many times their normal speed. The character can also read 10 times faster than normal and can track the paths of bullets and similar fast-moving objects with a successful Perception Test. When using this augmentation, the character gains two extra Complex Actions during each Action Phase that may only be used for mental actions. The character also receives a +30 Initiative bonus. The character thinks at normal speed whenever this nanoware is inactive. This nanoware is incompatible with any other augmentation that provides any form of extra actions, such as multi-tasking. This augmentation can be used as often as desired, but actively using it renders ordinary conversation and social interactions difficult and requires concentration to maintain.",High,,TRUE,EP.308,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Nanophage,,Nanoware,"These nanobots patrol the body, alert for signs of intrusive nanodrugs or -toxins and destroying them before they have more than a minor effect. Nanophages provide automatic immunity against nanodrugs and nanotoxins unless they are specifically commanded to stand down by the user, via their mesh implants.",Moderate,,TRUE,EP.309,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Oracles,,Nanoware,"These neural macrosensing nanobots pay attention to the sensory input on which the character is not focusing, alerting them about important things they might otherwise overlook. Oracles also act as a sort of memory buffer and search aid, extending short term memory, helping the character recall memories and details, and crosschecking them with other memories. Oracles negate Perception modifiers for distraction, apply a +10 modifier to Investigation Tests, and add a +30 bonus to memory-related tests.",Moderate,,TRUE,EP.309,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Respirocytes,,Nanoware,"These nanobots act as highly-efficient artificial red blood cells, increasing the ability to transfer oxygen and carbon dioxide. This increases the morph's ability to hold their breath to 4 hours and increases DUR by +5.",Moderate,,TRUE,EP.309,,,,COG:5,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Wrist-Mounted Tools,,Nanoware,"The morph has a 6 centimeter-wide metal band containing nanobot generators implanted around each wrist. These nanobots link together to duplicate the function of a utilitool, creating narrow, highly flexible arms that each ends in a specialized tool. These nanobots can also produce tiny fiber optics to allow the character to see through small openings, as well as being able to create small weapons equal to bioware claws. The fact that these tool are mentally controlled gives the character a +20 modifier to skills involving repairing or modifying devices with mechanical parts, opening locks or disarming alarm systems, or performing first aid.",Moderate,,TRUE,EP.309,,+20 repairing/manipulating small objects,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Gas Jet System,,Mobility System,"This cybernetic system implants nozzles in the morph's chest, back, and limbs, allowing it to maneuver in microgravity using vectored bursts of gas. It either inputs atmospheric gases through implanted intakes or draws gas from an oxygen reserve implant. This mod applies a +10 modifier to Freefall Tests.",Moderate,,TRUE,SW.166,,,Freefall 10,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Hopper,,Mobility System,"Hoppers have two or more legs designed to propel the morph forward or up, much like a frog or grasshopper.",Moderate,,TRUE,EP.310,Hopper,,,,FALSE,,TRUE,,,Synthmorph
Hovercraft,,Mobility System,"The shell uses an impeller to blast a cushion of high-pressure air off the surface below, repelling the frame off the ground (modern hovercraft do not use rubber skirts). Most hovercraft travel a meter or so above the ground, but can temporarily levitate themselves higher for short periods.",Low,,TRUE,EP.310,Hovercraft,,,,FALSE,,TRUE,,,Synthmorph
Internal Rocket,,Mobility System,"This miniature metallic hydrogen rocket is specifically designed for low thrust. It provides an acceleration of up to 0.25 g, allowing the morph to take off and land on all moons and other small bodies in the solar system. This engine can operate for a total of one and a half hours before it requires refueling. Both the sundiver (p. 164, Sunward) and courier (p. 185, Rimward) are considered to have this enhancement.",Moderate,,TRUE,TH.198,,,,,FALSE,,TRUE,,,Synthmorph
Ionic,,Mobility System,"The shell uses principles of magnetohydrodynamics to levitate and fly, by ionizing surrounding air into plasma to create lift and momentum. The shell is also spun for stability. This system does not work in vacuum, but an underwater version uses the same mechanics for propulsion in liquid environments.",High,,TRUE,EP.310,Ionic,,,,FALSE,,TRUE,,,Synthmorph
Microlight,,Mobility System,"Popular in low-grav and microgravity environments, microlights encompass several types of ultralight or lighter-than-air systems, such as powered paragliders, autogyros, balloons, aerostats, and blimps. These systems do not work in vacuum.",Low,,TRUE,EP.310,Microlight,,,,FALSE,,TRUE,,,Synthmorph
Plasma Sail Implant,,Mobility System,"This augmentation installs a miniature plasma sail in the morph. This implant includes a potent batterypowered superconducting magnet and a tank holding sufficient compressed hydrogen to allow the plasma sail to operate for three months. This implant allows the user to fly through space with an acceleration of up to 0.01 g, though beyond the orbit of Saturn the solar wind becomes too faint to provide any acceleration. In open space, this sail can achieve a maximum velocity of 80 kilometers per second, but can only be used to accelerate away from the sun (tacking can be used to sail toward the sun, but at a maximum of 10 kps). It can be used to maneuver in any direction, however, as long as the user is within a planet's strong magnetic field. Within 70,000 km of Earth, 3,000,000 km of Jupiter, 1,500,000 km of Saturn, 450,000 km of Uranus, or 500,000 km from Neptune, the plasma sail allows the user to maneuver freely and to land on and take off from any moon with a surface gravity of less than 0.05 g. Using it requires Flight skill. This is a relatively large implant and produces a characteristic humpback shape on almost all morphs.",Expensive,,FALSE,RW.189,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Roller,,Mobility System,"Only for circular shells, this system allows the synthmorph to roll like a ball. The shell rolls around an interior axle, propelled by a motor-driven pendulum.",Moderate,,TRUE,EP.310,Roller,,,,FALSE,,TRUE,,,Synthmorph
Rotorcraft,,Mobility System,"Rotating blades create lift, allowing the shell to move and hover like a helicopter. Most models use tilt-rotors or tilt-wings so that the rotor blades may be moved forward (for faster propeller-like propulsion) and for better maneuverability in zero-G. This system does not work in vacuum.",Low,,TRUE,EP.310,Rotorcraft,,,,FALSE,,TRUE,,,Synthmorph
Snake,,Mobility System,"Commonly used by slitheroids, these shells use lateral undulation, flexing their body from left to right and waving their frame forward. Such shells may also use sidewinding or a concertina motion (straightening forward, then retracting the rear) to move. They also featured gyroscope stabilization so that they may circle into a hoop and roll like a wheel.",Moderate,,TRUE,EP.310,Snake,,,,FALSE,,TRUE,,,Synthmorph
Submarine,,Mobility System,"Designed for undersea mobility, submarine shells use propellers or pumpjets to push through water.",Moderate,,TRUE,EP.310,Submarine,,,,FALSE,,TRUE,,,Synthmorph
Thrust Vector,,Mobility System,These shells use either turbofans or turbojets to create atmospheric lift with a set of wings. The engines may be maneuvered to point and generate thrust in different directions for vertical takeoffs/landings and better maneuverability in zero-G.,Moderate,,TRUE,EP.310,Thrust Vector,,,,FALSE,,TRUE,,,Synthmorph
Tracked,,Mobility System,Tracked shells use smart rotating treads to work their way across surfaces that would bog down other ground vehicles. They can prop themselves up in order to overcome taller obstacles or to lay themselves down to bridge across a ditch or crevice.,Low,,TRUE,EP.310,Tracked,,,,FALSE,,TRUE,,,Synthmorph
Walker,,Mobility System,Walkers use two or more limbs to walk or crawl across a surface. Many use grip pads or magnetic systems to stick to surfaces.,Low,,TRUE,EP.310,Walker,,,,FALSE,,TRUE,,,Synthmorph
Wheeled,,Mobility System,Most wheeled shells feature smart spokes that allow the wheels to conform their shape to obstacles and even climb stairs. Some low-grav shells feature puncture-resistant and self-repairing compressed-gas tires.,Low,,TRUE,EP.310,Wheeled,,,,FALSE,,TRUE,,,Synthmorph
Winged,,Mobility System,"Primarily used by smaller shells, this system of four independently-controlled wings allows the shell to hover or move rapidly in any direction.",Low,,TRUE,EP.310,Winged,,,,FALSE,,TRUE,,,Synthmorph
Access Jacks,,Mental Augmentation,"Usually located in the base of the skull or neck, this implant is an external socket with a direct neural interface. It allows the character to establish a direct wired connection using a fiber optic cable to external devices or other characters, which can be useful in places where wireless links are unreliable or complete privacy is required. Two characters linked via access jack can ""speak"" mind-to-mind and transfer information between their mesh inserts and other implants. All synthmorphs have these by default.",Low,,TRUE,EP.306,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Dead Switch,,Mental Augmentation,"This cortical stack accessory is designed to keep the stack from falling into the wrong hands. If the morph is killed, the dead switch wipes and melts the cortical stack completely, so that the ego cannot be recovered. This option is generally only used by covert operatives with recent backups.",Low,,TRUE,EP.306,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Eidetic Memory,,Mental Augmentation,"The character can remember everything that ever happened to them, in detail, with no long term memory loss. For example, they can recite a page they read in a book a month ago, recall a string of 200 random characters they viewed a year ago, or even tell you what they had for breakfast on a particular date a decade ago. However, they can only remember things they paid attention to. The character will not remember the contents of a note on someone's desk if they merely glanced at it; they must specifically have read it. No effort is required to use this augmentation, the character merely needs to attempt to remember a specific fact.",Low,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Emergency Farcaster,,Mental Augmentation,"Only characters with cortical stacks can possess this augmentation. The morph has an implanted quantum farcaster linked to a highly secure storage facility. The high cost of this implant also covers the cost of this storage. Using standard radio and quantum encryption, the farcaster broadcasts full backups of the character's ego (pulled from the cortical stack) once every 48 hours. At the gamemaster's discretion, the backup interval may be scheduled more or less frequently, keeping in mind that ego broadcasts are generally limited for security purposes and because they hog bandwidth. These broadcasts only work when the character is in radio contact with the storage facility and is typically only used inside a habitat to broadcast backups back to a nearby space ship. If the radio broadcasts are blocked or jammed, this device cannot make backups. In the event of a farcaster failure, this augmentation also includes a single-use emergency neutrino broadcaster as well. This broadcaster contains approximately 10 nanograms of antimatter stored in an orange-sized triply-redundant magnetic containment vessel. If the character is dying or urgently wishes to depart the morph, this tiny amount of antimatter is brought into contact with a similarly tiny amount of matter in a controlled fashion that generates a single brief and carefully coded neutrino pulse of the ego's most recent backup. However, the heat generated by this process literally cooks the entire morph, killing it and destroying all implants and electronics in or on it. This entire process takes less than 0.1 second and the broadcast can be received as long as the neutrino receiver is within 100 astronomical units of the character. Within the solar system, this implant effectively guarantees the character's backup. It is less useful on exoplanets where the character is out of neutrino range of their backup facility. The amount of antimatter carried by this implant is sufficiently small enough that it does not produce an explosion and will not damage any surrounding objects. Most habitats carefully scan all visitors to determine if they have this implant and if the amounts of antimatter involved are sufficiently low as not to pose a danger to the habitat and its inhabitants, and some ban this implant entirely.",Expensive,,FALSE,EP.306,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Ghostrider Module,,Mental Augmentation,"This implant allows the character to carry another infomorph inside their head. This infomorph could be another muse, an AI, a backed-up ego, or a fork. The module is linked to the character's mesh inserts, so the ghost-rider can access the mesh. The character may limit the ghost-rider's access, or may allow them direct access to their sensory information, thoughts, communications, and other implants.",Low,,TRUE,EP.307,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Hyper Linguist,,Mental Augmentation,"The morph's brain maintains the linguistic flexibility of a small child, allowing the character to learn languages with great ease. This functions as the Hyper Linguist trait.",Low,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Math Boost,,Mental Augmentation,This implants functions as the Math Wiz trait.,Low,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Mental Stability,,Mental Augmentation,"This upgrade bolsters the mind's capacity to handle mental shocks and makes it less vulnerable to emotional distress. The user's Lucidity increases by +5, which also increases Trauma Threshold by +1 and Insanity Rating by +10. This upgrade has no effect on the user's WIL or their rolls to resist stress. The user is no more likely than before to be able to resist mental stress. However, they can now handle more mental stress before suffering any form of instability.",Expensive,,FALSE,TH.141,,,,LUC:5,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Mnemonic Augmentation,,Mental Augmentation,"A character with this augmentation and a cortical stack can access digital recordings of all of the sensory data they have experienced in XP format (and they may share these recordings with others). Mnemonic augmentation differs from the eidetic memory bioware because it allows characters to digitally share all of their sensory data with others. It also allows them to closely examine sensory data they did not initially look at. For example, If the character glanced at a note but did not read it, they can later use image enhancement software to enhance this image and in most cases actually read what the note said. Mnemonic augmentation allows the character to clearly hear all background noises, like a conversation at a nearby table that the character only initially heard a few words of. Using mnemonic augmentation to retrieve a specific piece of information is quite easy, but usually requires between 2 and 20 minutes of concentration.",Low,,TRUE,EP.307,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Multiple Personalities,,Mental Augmentation,"The character's brain is intentionally partitioned to accommodate an extra personality. This multiplicity is not viewed as a disorder, but as a cognitive tool to help people deal with their hypercomplex environments. This extra personality can be an NPC run by the gamemaster, a separate character (in ego form only) made by the player, or the downloaded fork of another character. For all intents and purposes, the extra personality is treated as a separate ego (i.e., it may fork separately), except that both personalities are backed up in the same cortical stack and if downloaded they must be placed in separate morphs or in another morph with this implant. Only one ego may be in control of the morph at a time. The other resides in the background, still active, but not on a surface level. Each ego is completely aware of what the other is doing, thinking, etc. If for some reason the subsumed personality wants to come to the fore, but the other personality won't relinquish control, make an Opposed WIL x 3 Test. Each ego has its own Lucidity and Trauma Threshold, and they track stress and trauma separately. Any psi attacks or social/mental influences only affect the personality at the fore. Having an extra ego in your head, working in the background, is helpful for multitasking. The character receives an extra Complex Action each turn that may only be used for mental or mesh actions.",High,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Multitasking,,Mental Augmentation,"Only characters with cortical stacks can possess this augmentation. The character has an advanced computer installed in their brain that uses the data in the cortical stack to create several simultaneous short-term forks to handle various mental tasks. By design, this computer automatically reintegrates all of these forks into the character's core personality after a maximum of 4 hours, earlier if desired. This augmentation allows the character to both plan a speech and engage in intensive mesh-browsing while simultaneously fighting a gun battle or running from pursuit, since each of the forks operates independently. However, these forks can only perform purely mental or on-line interactions. This augmentation can produce a maximum of two forks at a time, giving the character an extra two Complex Actions on every Action Phase for mental or on-line actions. This implant cannot be used simultaneously with any other augmentation that allows for extra actions, or with the mental speed augmentation.",High,,TRUE,EP.307,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Puppet Sock,,Mental Augmentation,"This implanted computer allows the biomorph's body (the ""puppet"") to be controlled by another character (the ""puppeteer""). While active, the puppet has no control over their body and is simply along for the ride (at the gamemaster's discretion, puppets who are tormented by repeated or extensive loss of control may suffer mental stress). The puppeteer may directly ""jam"" the puppet or remote control it in the same way that robots and pods are teleoperated. The puppeteer must either be ghost-riding the puppet (see the Ghostrider Module) or have a direct communications link (via mesh, radio, laser, etc.).",Moderate,,TRUE,EP.307,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Anti-Glare,,Enhanced Sense,This visual mod eliminates penalties for glare.,Low,,TRUE,EP.306,,Ignore penalties for glare,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Echolocation,,Enhanced Sense,"The character possesses sonar similar to that of a bat or dolphin. The character bounces brief ultrasonic pulses off their surroundings and uses them to form an image of these surroundings through the pattern of reflections of these pulses received by the character's ears. For more details, see Using Enhanced Senses. This augmentation works in both air and water and has a range of 20 meters in air and 100 meters in water.",Low,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
