NAME,TYPE,Stats,Skills,Armor,Stackable,Aptitudes,Blueprints,Cost,Minimum,Description,Book,Page
Suborning Swarm,Nanotechnology,,,,,,TRUE,High,,"This nanotechnology is highly restricted in most of the solar system, including on all worlds and habitats controlled by the Planetary Consortium. The nanobots in this swarm are programmed to identify all sensors and devices that transmit any signal in the electromagnetic spectrum. This includes radios, ectos, communication links, microbugs, x-ray emitters, etc. Once identified, the swarm's operator can order the nanobots to suborn these sensors and transmitters. Nanomachines in the swarm then attach themselves to all of these devices in the area and can attempt to either disable or tap into them. Disabling sensors and transmitters is rather easy; the swarm simply creates enough electromagnetic interference in and around the device to make it unusable. Make a Simple Test using the swarm's Hardware: Electronics skill of 40. Success indicates all devices have been temporarily disabled. Failure means that a small portion of devices remain active or semi-functional. Large devices may not be disabled. Each swarm can disable sensors and transmitters for up to 1 hour before it must be recharged. Temporary disablement has no long-term damaging effects on the devices. Operators of the devices may attempt to overrride the jamming; in this case the operator must succeed in an Variable Opposed Interfacing Test against the swarm's skill of 40, per the rules for Radio Jamming, p. 262, EP. Tapping into devices is more difficult. In this case, make a regular test using the swarm's Hardware: Electronics skill of 40. It is recommended the game- master apply a single roll to determine the swarm's general effectiveness, and handle individual devices on a case-by-case basis as needed. If successful, the swarm siphons sensor and communication feeds through physical taps in the devices' internal electronics. Note that encrypted transmissions are not decoded, though the operator (or their muse) can attempt to decrypt them on an individual basis. Suborning swarms are ineffective against other nanoswarms (including smart dust) and the sensory and communication implants and enhancements of biomorphs. They are, however, effective against the sensors and communications of robots and synthmorphs, and are especially dangerous to swarmanoids (including skulkers and smart swarms), as they inhibit the ability of the swarmanoid components to communicate. If the Hardware: Electronics Test to disable is successful against a swarmanoid, that morph suffers a negative modifier equal to the suborning swarm's MoS for as long as it remains in the swarm's area of effect.",,
Cleaners,Nanotechnology,,,,,,TRUE,Low,,"This nanoswarm cleans, polishes, and removes dirt and stains. It may be used on an area, specific objects, or people. Some facilities employ permanent cleaner swarms to keep their area spotless. Cleaners may also be programmed to remove specific toxins, chemicals, or other hazardous substances in order to decontaminate an area. Covert operatives and criminals sometimes use cleaners to eliminate any evidence they may have left at a scene usable for forensics purposes, such as blood, hair, or anything that could be DNA-typed.",EP,329
Maker (Low),Nanotechnology,,,,,,TRUE,Low,,"Makers are specially-designed to produce food and drink for the user. Raw materials can be provided by the addition of any water-containing liquid and collected biomass like leftover food, grass, dirt, dead animals, or transhuman waste. Some models are built into standard vacsuits. Makers can produce water and various  flavored beverages, as well as ration bars or thick pudding-like edible gels. With adequate raw material, a maker can indefinitely provide food and drink for up to three transhumans. Most units, however, have a very limited range of flavors and textures that are widely considered to be fairly bad. Models with a wider and better range of flavors and textures are more expensive, but produce food that is considered adequate or occasionally good.",EP,328
Motes,Nanotechnology,,,,,,TRUE,Low,,"Micro-sized computers that come in packages of 500 (or more). They are spread around an area, creating an ad hoc mesh network.",GC,155
Nanodetectors,Nanotechnology,,,,,,TRUE,Low,,"Nanodetectors are small devices that suck in air and micro debris in order to scan for and detect nanobots. Given that nanobots are so small, the density of nanobots in the area has a large impact on its success. The nanodetector has a base skill of 30 for detecting nanobots, modified by +30 if an active nanoswarm or hive is present, +0 if a nanoswarm or hive was active recently, and -10 for the presence of nanobots outside of a swarm or hive. Once a nanobot is detected it may be analyzed either by the user or the nanodetectors AI, using Academics: Nanotechnology 30 skill. Nanodetectors are often worn and left on, set to alert the user if a hostile nanoswarm is detected. [Low]",EP,327
Nanomask,Nanotechnology,,,,,,TRUE,Low,,This makeup nanobot application decorates the character's face in changing artistic and aesthetic styles that also happen to deter the capabilities of facial recognition software. It provides a -30 modifier to attempts to identify the subject using facial recognition. Some habitats ban this accessory.,,
Taggants,Nanotechnology,,,,,,TRUE,Low,,"Taggants seek to lodge themselves onto everything in their area of dispersal. Each carries a unique identifier, so that if it is found later, the tagged person or object can be linked back to the point they were tagged. Taggants can be programmed to remain silent, only responding to query broadcasts made with the proper crypto codes, or they can be programmed to broadcast their location back to the deployer via the mesh.",EP,329
Engineers,Nanotechnology,,,,,,TRUE,Moderate,,"Engineer microswarms are used for various construction purposes: erecting walls, digging tunnels, sealing holes, reinforcing foundations, and so on.",EP,329
Fabber,Nanotechnology,,,,,,TRUE,Moderate,,"Fabbers are specialized nanofabricators, portable and considerably smaller than CMs. There are a wide variety of portable fabbers, including ones that can make any hand tool or small piece of personal electronics, ones that can turn any organic material into food and drink, and ones that can create any drug or medicine as well as bandages and specialized dressings. The most common fabbers have a volume of 4 liters. Larger hand tools and devices are produced as 2 or 3 separate parts that must be fitted together. Like CMs, fabbers also contain miniature disposal units.",EP,328
Fixers,Nanotechnology,,,,,,TRUE,Moderate,,This is the nanoswarm version of repair spray.,EP,329
Gardeners,Nanotechnology,,,,,,TRUE,Moderate,,"This microswarm is useful for a number of agricultural purposes: killing weeds, planting seeds, trimming plants, pollinating, and even harvesting small items. It may also be programmed to simply defoliate an area.",EP,329
Guardians,Nanotechnology,,,,,,TRUE,Moderate,,Guardians watch for and attack other unauthorized swarms. Guardians inflict 1d10 / 2 damage (round up) on other swarms they come into contact with per Action Turn.,EP,329
Injectors,Nanotechnology,,,,,,TRUE,Moderate,,"Injector microswarms are equipped with tiny needles and a drug payload. A biological target affected by an injector swarm suffers 1 point of damage and the effects of the carried drug, chemical, or toxin.",TH,213
Maker (Moderate),Nanotechnology,,,,,,TRUE,Moderate,,"Makers are specially-designed to produce food and drink for the user. Raw materials can be provided by the addition of any water-containing liquid and collected biomass like leftover food, grass, dirt, dead animals, or transhuman waste. Some models are built into standard vacsuits. Makers can produce water and various  flavored beverages, as well as ration bars or thick pudding-like edible gels. With adequate raw material, a maker can indefinitely provide food and drink for up to three transhumans. Most units, however, have a very limited range of flavors and textures that are widely considered to be fairly bad. Models with a wider and better range of flavors and textures are more expensive, but produce food that is considered adequate or occasionally good.",EP,328
Saboteurs,Nanotechnology,,,,,,TRUE,Moderate,,"This microswarm is useful for a number of agricultural purposes: killing weeds, planting seeds, trimming plants, pollinating, and even harvesting small items. It may also be programmed to simply defoliate an area.",EP,329
Sensor Motes,Nanotechnology,,,,,,TRUE,Moderate,,"As ""Motes"" but with sensor input. Cameras are common.",GC,155
Smart Plankton,Nanotechnology,,,,,,TRUE,Moderate,,"A variant of smart dust designed for underwater use. This swarm can record video, audio, temperature, chemical traces and movement. ",PO,152
Specialized Hive,Nanotechnology,,,,,,TRUE,Moderate,,"Specialized hives are far more common than general hives, though they can produce only one type of nanomachines (i.e., choose one type of nanoswarm per hive). The smallest specialized hives are approximately the size of a 12-gauge shotgun shell or a large cherry tomato.",EP,328
Blue Box Portable Gate Control Unit,Exploration Gear,,,,,,FALSE,Expensive,,Portable gate control unit (GC p. 142). Requires a Hardware: Electronics Test as a Task Action with a -10 modifier and a timeframe of 1 hour.,GC,155
Portable Solarchive,Exploration Gear,,,,,,TRUE,Low,,Small data storage units that hold mesh libraries for specific subjects (one knowledge skill at 60). Allows queries and research tests as if connected to the mesh.,GC,156
Gate Probe,Exploration Gear,,,,,,TRUE,Moderate,,Portable medium-sized self-deploying sensor packages. Taking a measurement requires only 1 Action Turn. Has Perception 40 and Academics: Chemistry 60,GC,156
Mapping Missile,Exploration Gear,,,,,,TRUE,Moderate,,Small orbital missile which provides low res planetary map data in 1-2 days. Has Perception 40 and Academics: Chemistry 60,GC,156
Scout Missile,Exploration Gear,,,,,,TRUE,Moderate,,Disposable launch tube with sensor missiles. Maps 5km radius or 10km in a direction in 20 min and has a Perception of 40.,GC,156
Hyperdense Exoskeleton,Exoskeletons,,,6/12,TRUE,,FALSE,Expensive,,"These powered exoskeletons are larger (roughly twice human-sized) and built for heavy-use industrial purposes, such as handling heavy/large objects. The wearer is partially encapsulated to protect them from debris and industrial accidents. Hyperdense exoskeletons provide no movement bonus, but provide a +30 bonus to strength-based tests and inflict an extra +3d10 damage and -5 AP on physical attacks. They have an Armor Value of 6/12.",,
Transporter,Exoskeletons,,,2/4,TRUE,,TRUE,High,,"This exoskeleton framework includes a pair of vector-thrust turbofan engines, giving the user flight capabilities in gravity and increased maneuverability in zero-G. It provides partial protection to the wearer with an Armor Value of 2/4. Piloted with Pilot:Aircraft.",,
Exowalker,Exoskeletons,,,2/4,TRUE,,TRUE,Moderate,,"Exowalkers are minimal framework exoskeletons, primarily designed to bolster the wearer's strength and movement. They provide a an Armor Value of 2/4, a +10 modifier to strength-based tests, and double the distance by which the character may jump.",,
Trike,Exoskeletons,,,2/4,TRUE,,TRUE,Moderate,,"The trike exoskeleton is a three-wheeled personal motorcycle design, rather than a walker. It provides partial protection to the wearer with an Armor Value of 2/4. Piloted with Pilot:Groundcraft.",,
Battle Suit,Exoskeletons,,,18/18,FALSE,,FALSE,Expensive,,"The battle suit powered exoskeleton features a military-grade fullerene armor shell with flexible aerogel for thermal insulation and a diamond-hardened exterior designed to resist even potent ballistic and energy-based weapons. The suit also enhances the wearer's strength and mobility, applying a +10 bonus to strength-based tests, inflicting an extra +1d10 damage and AP of -2 on melee attacks, and doubling the distance by which the character may jump. Battlesuits are completely sealed to protect the wearer from environmental factors, and fitted with life support features and a maker capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. Battle suits are equipped with each an ecto, a radio booster, and sensors equal to specs. These suits have an Armor Value of 18/18 (not cumulative with any other armor) and protect the wearer from temperatures from -175 to 140 C.",,
Smart Vac Clothing,Armor,,,2/4,TRUE,,TRUE,Moderate,,"Just like regular smart clothing, this outfit can also transform into a light vacsuit. It also functions as armor with a rating of 2/4.",,
Plasma Sail,Everyday Technology,,,,,,FALSE,Expensive,,This backpack provides the user with 0.01G of Thrust that can land a take off from objects with a max of 0.05G. It uses the Flight Skill.,RW,191
Tools (facility): Aerospace,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Aerospace skill.,EP,326
Tools (facility): Armorer,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Armorer skill.,EP,326
Tools (facility): Electronics,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Electronics skill.,EP,326
Tools (facility): Groundcraft,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Groundcraft skill.,EP,326
Tools (facility): Implants,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Implants skill.,EP,326
Tools (facility): Industrial,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Industrial skill.,EP,326
Tools (facility): Nautical,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Nautical skill.,EP,326
Tools (facility): Robotics,Everyday Technology,,,,,,FALSE,Expensive,,Non-mobile. Specific to Hardware: Robotics skill.,EP,326
Smart Manipulators,Everyday Technology,,,,,,TRUE,High,,"The device can create an array of tools. It can sprout wings, gliding membranes, or flexible 7m limbs or 30m lengths of electronic rope.",RW,191
Tools (shop): Aerospace,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Aerospace skill.,EP,326
Tools (shop): Armorer,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Armorer skill.,EP,326
Tools (shop): Electronics,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Electronics skill.,EP,326
Tools (shop): Groundcraft,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Groundcraft skill.,EP,326
Tools (shop): Implants,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Implants skill.,EP,326
Tools (shop): Industrial,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Industrial skill.,EP,326
Tools (shop): Nautical,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Nautical skill.,EP,326
Tools (shop): Robotics,Everyday Technology,,,,,,TRUE,High,,Can be transported by a large vehicle. Specific to Hardware: Robotics skill.,EP,326
Ecto,Everyday Technology,,,,,,TRUE,Low,,"Ectos are the external version of basic mesh inserts, minus the medical sensors. These colorful devices serve as a wearable mesh terminal, PDA, locator, and camera-phone. The devices are flexible (often worn as bracelets), dirt-resistant, self-cleaning, and may be stretched out to increase screen size. They may project holographic displays and are typically equipped with wireless-enabled glasses or contact lenses and decorative earpieces or earrings so that the user may access augmented reality. Given the ubiquity of mesh inserts, ectos are growing less common, but they are still used by bioconservatives, others without implants, and those who prefer to access the mesh via an external device for security concerns.",EP,325
Holographic Projectors,Everyday Technology,,,,,,TRUE,Low,,"These devices are capable of projecting high-definition, ultra-realistic three- dimensional images and movies. From a distance (20+ meters), such holograms can be difficult to distinguish as fake, but up close they are easier to see for what they are (+20 Perception Test modifier). Holograms do not appear wavelengths other than visual light, and so are easily identified by anyone with enhanced vision.",EP,325
Nuclear Battery,Everyday Technology,,,,,,TRUE,Low,,"put out 1 kilowatt of power continuously for up to three years. If used as ammo, recharge at 20 shots per hour. Changing a battery is a standard action.",GC,155
Smart Clothing,Everyday Technology,,,,,,TRUE,Low,,"Smart clothing can change its color, texture, and even its cut, taking only a minute or two to transform from a solid color jumpsuit to a plaid party dress or a replica of a pinstriped, late 20th century business suit. It can also camouflage the wearer, providing a +20 bonus to Infiltration Tests to avoid being seen, as long as the wearer is stationary or not moving faster than a slow walk, and as long as the wearer is completely covered or also using chameleon skin of the same color/pattern. If incompletely camoufaged, or if moving faster, reduce the modifier to +10. Smart clothing also keeps the character warm or cool, allowing the character to exist comfortably in environments from -40 to 70 C.",,
Specs,Everyday Technology,,,,,,TRUE,Low,,"Specs are vision-enhancing glasses. They deliver sensory data directly into the wearer's visual cortex by connecting with their basic mesh inserts, though visual displays are available for bio-conservatives and other characters without implants. Specs extend the range of the wearer's vision from terahertz waves to gamma rays. Specs include a t-ray emitter, however, using x-rays, or gamma rays for visual purposes requires a separate emitter, since neither of these sorts of radiation are common inside habitats, or in any safe environments. Specs have a variable focus equivalent to 5 power magnifiers and provide the wearer with a +10 bonus to all Perception Tests involving vision.",EP,326
Tools (kit): Aerospace,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Aerospace skill.,EP,326
Tools (kit): Armorer,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Armorer skill.,EP,326
Tools (kit): Electronics,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Electronics skill.,EP,326
Tools (kit): Groundcraft,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Groundcraft skill.,EP,326
Tools (kit): Implants,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Implants skill.,EP,326
Tools (kit): Industrial,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Industrial skill.,EP,326
Tools (kit): Nautical,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Nautical skill.,EP,326
Tools (kit): Robotics,Everyday Technology,,,,,,TRUE,Low,,Man portable kit. Specific to Hardware: Robotics skill.,EP,326
Utilitool,Everyday Technology,,,,,,TRUE,Low,,"This hand tool includes a specialized small nanobot generator. In its basic form, a utilitool is the size and shape of a large fountain pen. It can transform into almost any tool, however, from a wrench, knife, or powered screwdriver to a rotary grinder or pair of pliers. Some inexpensive utilitools are optimized for specialized tasks, like cooking or wilderness survival, but more expensive models become almost any imaginable hand tool. Utilitools are normally mentally controlled using the character's basic mesh inserts. Characters without such implants can control the tool via voice commands and touch controls. Characters using a utilitool gain a +10 modifier to skills involving repairing or modifying devices with mechanical parts, opening locks, disarming alarm systems, or performing first aid.",EP,326
Viewers,Everyday Technology,,,,,,TRUE,Low,,"These small and highly advanced binoculars possess all the visual enhancement of specs, but also provide 50x magnification. They also include a directional microphone that magnifies sound from the direction the viewers are pointed by a factor of 50. Viewers provide the user with a +30 bonus to all Perception Tests involving vision or hearing for the target they are aimed at. This bonus is not cumulative with bonuses from any other device or augmentation.",EP,326
Flying Vest,Everyday Technology,,,,,,TRUE,Moderate,,This vest allows the wearer to fly in low gravity environments with an atmosphere. It can operate for 4 hours before it must be recharged.,RW,191
Fractal Gloves,Everyday Technology,,,,,,TRUE,Moderate,,These gloves duplicate the effects of the fractal digits and nanoscopic vision implants(EP p. 311).,RW,191
Morph Storage Pod,Everyday Technology,,,,,,TRUE,Moderate,,"This coffin-sized tank keeps a biomorph safely stored in medical stasis. They are routinely used in body banks and egocasting facilities, maintaining unused sleeves in a coma-like state within a nutrient bath. Some jurisdictions only allow morph storage pods to be operated by certified medical personnel and technicians.",,
Portable Sensor,Everyday Technology,,,,,,TRUE,Moderate,,"This is a small portable (possibly even wearable) sensor system. The type of sensor must be chosen (for example: infrared, lidar, radar, x-ray). Combined sensor systems are also available, at a cumulative cost.",EP,325
Dust Repellent,Everyday Technology,,,,,,TRUE,Trivial,,This smart material spray prevents electrostatic dust from adhering to surfaces. One can is enough to cover eight morphs or a single large Morph.,RW,191
Grip Tape,Everyday Technology,,,,,,TRUE,Trivial,,"This sticky nanotape can be applied to almost any surface, allowing items to be stuck in place with the adhesive power of grip pads.",GC,155
Micrograv Shoes,Everyday Technology,,,,,,TRUE,Trivial,,"These shoes are equipped with velcro and/or a magnetic system, allowing the wearer to walk normally on appropriate surfaces in micrograv and zero-G environments, rather than floating or bouncing.",EP,325
Solar Recharger,Everyday Technology,,,,,,TRUE,Trivial,,"Like Nuclear Batter, but requires sunlight and has 1.5 meter square panel.",GC,155
Standard Battery,Everyday Technology,,,,,,TRUE,Trivial,,"rechargeable, high-density superconductors.",GC,155
Wireless Energy Transmitter,Everyday Technology,,,,,,TRUE,Trivial,,Transfer energy from Nuclear or Solar power source to device within 20 meters.,GC,155
Quantum Computer,Espionage,,,,,,FALSE,Expensive,,"These advanced devices make use of quantum computation, allowing them to handle extremely large numbers with ease. This makes them especially useful for codebreaking.",EP,316
Stealthed Landing Pod,Espionage,,,,,,FALSE,Expensive,,"Sometimes, Firewall teams cannot egocast to a location and must instead physically travel there. If this location is sufficiently dangerous or simply does not welcome visitors, docking a spacecraft may not be possible. In these cases, Firewall teams often use this vehicle. It is designed to be launched from a spacecraft that is passing within 100,000 kilometers of the target. That spacecraft fakes a micrometeor strike or other problem that causes a small explosion and some minor debris. On rare occasions, to insure complete surprise, the spacecraft may actually self-destruct. During this explosion, the landing pod fires a brief burst of its metallic hydrogen rocket to direct it towards its desti- nation, then powers down. The landing pod is heavily stealthed against visual and radar detection, so that it is almost impossible to detect with any sensors if it is not broadcasting or firing its engines (-60 to tests to detect). The landing pod travels toward its destination for between 10 and 100 hours, then approximately 1 minute before it arrives, it fires its engines in a second brief, powerful burst that slows it down to allow it to safely land on its destination. When it fires its engines, sensors on its destination are likely to detect it (+30), but residents of this habitat will hopefully not have time to respond before the operatives can enter the habitat. Landings are often coordinated with mesh intrusions that seek to distract the target's defenses or temporarily disable the local sensors. The landing pod can carry up to six human-sized morphs and has long-term life support facilities to allow it to transport biomorphs. The landing pod has sufficient fuel to allow it to also take off from a habitat and rendezvous with a nearby spacecraft. It also contains a compact radio, microwave, and laser farcaster that allow operatives to remain in secure contact with others and to egocast off the habitat, as long as the users can remain in radio contact with the landing pod. The most expensive landing pods contain a single-use neutrino farcaster capable of broadcasting backups of up to six egos. Using this farcaster destroys the landing pod. Landing pods are designed to dock with habitats, not planets or large moons, and cannot safely land on or take off from any body with a surface gravity of more than 0.04 g. This landing pod is 3.5 meters tall, 3 meters in diameter, and has a mass of 3 tons. In addition to room for six morphs, it features a cargo hold with room for up to 8 medium-sized pieces of gear and numerous smaller items. [Expensive; Expensive x 2 with emergency neutrino transceiver]",,
Covert Ops Tool,Espionage,,,,,,TRUE,High,,"This handheld device is the ultimate in infiltration technology. It contains both smart matter micromanipulators, cutting tools, and an advanced nanotechnology generator capable of producing nanobots that can bore or cut through almost any material and disable or open almost any electronic lock. Cutting out a lock or boring a 1-millimeter hole in a wall with a COT requires ((Durability + Armor) / 10) seconds. Cutting out a 1-meter diameter hole in a wall requires ((Durability + Armor) / 10) minutes. These same nanobots can later be used to repair this damage so that it is invisible to any but the most careful and detailed examination. A COT can easily open any old-fashioned mechanical lock simply by analyzing it and shaping an appropriate key, though this takes a full Action Turn. It can also open electronic locks by infiltrating them with nanobots that influence the lock's electronics, no matter what authentication system the lock uses. Opening electronic locks takes a full Action Turn, but success is practically guaranteed. Opening an electronic lock in this manner will, however, trigger an alarm and/or be logged as an event.",EP,315
Disabler,Espionage,,,,,,TRUE,High,,"This handy device emits an overloading surge that completely incapacitates and disables a synthetic morph or pod (anything with a cyberbrain) when it is plugged into an access jack and activated. The affected cyberbrain will be unable to function until the signal is deactivated, effectively shutting down the ego (or AI). In order to plug a disabler into an unwilling target, the target must first be grappled or a called shot must be successfully made in melee combat. This device does not work on larger synthetic morphs (like vehicles) or on cyberbrainless robots.",EP,316
Invisibility Cloak,Espionage,,,,,,TRUE,High,,"This cloak is made of metamaterials with a negative refractive index, so that light actually bends around it, making it and anything it covers invisible. This invisibility works from the microwave to ultraviolet spectrums, but not against radar or x-rays. The drawback is that anything concealed within the cloak can't see out. This is easily overcome by using external sensor feeds (if available) and entoptics to navigate. Alternately, a small piece of anti-cloak, which cancels the cloak's invisibility properties when touched together, can be used to create a small window to peep out of, though this increases the chance of being spotted. Noticing such a window requires a Perception Test with a -30 modifier.",EP,316
Lens Crazer,Espionage,,,,,,TRUE,High,,"A more offensive version of the dazzler this device attempts to ruin camera optic systems. It takes one Action Turn to detect lenses, then begins zapping them.",PO,151
Privacy Pod,Espionage,,,,,,TRUE,High,,"A portable self-assembling tent-like structure that is a soundproofed Faraday cage, featuring a guardian nanoswarm, an airlock with a built-in bug zapper.",PO,151
Radar Cloak,Espionage,,,,,,TRUE,High,,This cloak works like the invisibility cloak except that it bends radar frequencies and makes the wearer invisible to radar sensors.,PO,151
Shroud,Espionage,,,,,,TRUE,High,,"This device is a whole-body smart-fabric covering, similar to a burkha, designed to provide as much anonymity as possible to the wearer. ",PO,151
Chameleon Cloak,Espionage,,,,,,TRUE,Low,,"This loose, poncho-like cloak contains a network of sensors that perceive wavelengths from microwave to ultra-violet. A similar network of miniature emitters precisely replicate the information its sensors receive, making the wearer seem transparent to those wavelengths. A chameleon cloak allows a character to effectively become invisible as long as they are stationary or not moving faster than a slow walk. When worn by someone moving faster, the cloak still provides a +30 modifier to Infiltration Tests to avoid being seen or noticed. Chameleon cloaks are not effective against radar, x-ray, or gamma-ray sensors. They do hide the character from thermal infrared, however, by absorbing the character's body heat into its heat sink. The cloak can only absorb a character's body heat for one hour before it must emit this heat. Heat emission also requires one hour, during which time the character is easily visible in the thermal infrared spectrum.",EP,315
Cuffband,Espionage,,,,,,TRUE,Low,,"This smart plastic loop restricts around a prisoner's limbs when activated. If the prisoner struggles, it will tighten more. Cuffbands will inform the user if they are cut or loosened and are electronically-controlled, so the user can release the prisoner remotely. Some cuffband variants including a shock system (treat as a shock baton) to zap and restrain unruly prisoners.",EP,316
FiberEye,Espionage,,,,,,TRUE,Low,,"This is a d exible and electronically-controllable length of fiberoptic cable and viewer, which can be worked through cracks, under doors, and around corners to peep unobtrusively.",EP,316
Lens Spotter,Espionage,,,,,,TRUE,Low,,"A less intrusive version of the dazzler this device maps out the camera lenses in an area, without dazzling or blasting them with lasers.",PO,151
Quantum Microbug,Espionage,,,,,,TRUE,Low,,1cm camera/mic./tracker. Audio/visual range 20 meters. Can record 100 hours of data. Broadcasts cannot be detected or blocked.,EP,316
Traction Pads,Espionage,,,,,,TRUE,Low,,"This set of specialized fingerless gloves, shoes, and kneepads is designed to emulate the pads on geckos' feet. Characters can support themselves on a wall or ceiling by placing any two of these pads against any surface not made from a material specially designed to resist such devices. Characters can climb any surface and move easily across walls and ceilings that can support their weight (+30 to Climbing Tests). In addition to climbing, these devices are also very popular in zero-g environments. Wearing this item does not impair the user's agility or manual dexterity.",EP,317
X-Ray Emitter,Espionage,,,,,,TRUE,Low,,"This device is designed to be used with either the enhanced vision augmentation or specs. It emits a focused beam of low-powered x-rays that allows the user of either device to both see and see through most objects using backscatter x-ray radiation. This allows the character to literally see through walls and into containers, including ones made of metal.",EP,317
Prisoner Mask,Espionage,,,,,,TRUE,Medium,,"This hood tightens around the head of a prisoner, blocks all vision frequencies, and engages in low-level jamming in order to prevent any wireless communication via mesh inserts.",EP,316
Acoustic Spotter,Espionage,,,,,,TRUE,Moderate,,This portable sensor system detects the audio signature of kinetic weapons fire and attempts to focus the camera and rangefinder on the source.,PO,150
Dazzler,Espionage,,,,,,TRUE,Moderate,,"The dazzler is a tiny laser system set on a rotating ball. When activated, it consistently spins and emits laser pulses in all directions. These laser pulses are not dangerous, but they detect the lenses of camera systems (including specs, viewers, and bot/synthmorph sensors) and repeatedly zap them with laser pulses of varying strength to overload and dazzle them. For as long as a dazzler is active, any camera system (visual, infrared, and ultraviolet) within line of sight and within 200 meters is blinded.",EP,316
DNA Chaff,Espionage,,,,,,TRUE,Moderate,,This device similar to a splash grenade contains a mass of biological debris from a thousand morphs. It is used to contaminate an area for DNA evidence.,PO,150
Graybox,Espionage,,,,,,TRUE,Moderate,,"This micro device is a simple self powered wireless interface. When attached to an existing device, it allows that device to be interfaced via a wireless connection.",PO,150
Psi Jammer,Espionage,,,,,,TRUE,Moderate,,"This device jams frequencies used by brainwaves within a 20-meter radius. This has no effect on brain functions, but it does prevent any ranged used of psi sleights within this area of effect.",EP,316
Smart Dust,Espionage,,,,,,TRUE,Moderate,,"This device is a walnut-sized specialized nanobot generator that creates tiny sensor nanobots, each one of which is a tiny sphere the diameter of a human hair. A packet of smart dust nanobots is sufficient to perform detailed surveillance on a large room like an auditorium has a volume of 1 cubic centimeter and contains 3 million nanobots. Each nanobot contains tiny cameras, microphones, a tiny computer, a radio, and chemical sensors, as well as short legs that allow them to walk and climb at a rate of 5 cm per second. When a character dumps a packet of smart dust in a room, it will cover every surface in the room within 20 minutes, including all furniture and the insides of every drawer and other space that is not airtight. At this point, the smart dust has recorded all data about the room that can be obtained by exceedingly detailed observation, including the DNA of everyone who has visited the room in the last week or two. The smart dust can then either broadcast a brief, highly compressed signal, or it can send all of its information to a few hundred nanobots that then walk to a pre-arranged destination for pickup and downloading by their user. The user need only find a single nanobot with a nanodetector to acquire the information obtained by the smart dust. If ordered to do so, the remaining nanobots can either power down and await further orders or self-destruct in a fashion that turns them into a tiny amount of dust made mostly of metal and silicon.",EP,316
White Noise Machine,Espionage,,,,,,TRUE,Trivial,,This small and wearable device generates masking sounds that protect a conversation from being audibly recorded or overheard by anyone not in the immediate vicinity.,EP,317
Microbug,Espionage,,,,,,TRUE,Trivial,,"This device is a tiny camera and microphone 1 millimeter across. It has the visual capabilities of a set of specs. It can hear everything within 20 meters and see everything within the same range that is in its line of sight. A microbug can record up to 100 hours of information. Microbugs can be set to broadcast continuously, at set intervals, or only when they receive a special signal. If desired, they can also be set to only record if there is movement or voices in the room they are in. Microbugs have adhesive backs and can stick to almost any surface. Microbugs can also establish their location via mesh positioning or GPS, and so double as tracking devices. To avoid being detected by their radio transmissions, some microbugs are attached to miniature quantum farcasters. These microbugs are much larger (1 centimeter) and easy to see, but their transmissions cannot be detected or blocked.",EP,316
High-QBit Reservoir,Communications,,,,,,FALSE,Expensive,,"High-capacity qubit reservoirs can be used for 100 hours of high-resolution video conferencing or meshbrowsing and 1,000 hours of voice or text only communications.",EP,315
