NAME,shortname,TYPE,Description,Cost,Minimum,Blueprints,Source,Effect
Life Support Pack,,Survival Gear,"Ordinary vacsuits are only designed for relatively short term use, but gatecrashers might stay on uninhabit- able worlds for many weeks. A life-support pack (LSP) is a thick belt that contains a small nuclear battery as well as advanced  lters and a specialized maker that allow it to supply the wearer with pure air for up to 30 days. If the wearer periodically adds water or ice or spends time in an atmosphere containing oxygen, even if this oxygen is part of carbon dioxide or some other gas, then the LSP automatically replenishes its oxygen supply and can continue to provide air for the wearer for the next two years. The LSP’s nuclear battery is also designed to interface with the vacsuit it is attached to, allowing it to power that suit for a similar length of time. LSPs can be worn with either light or standard vacsuits, but are most useful when used with standard vacsuits, since they also provide the wearer with food and water.",Moderate,,TRUE,GC.159,
Nanobandage,,Survival Gear,"Characters without medichines must rely on external sources of healing. The most common option is the nanobandage a plum-sized advanced nanotechnology generator built into a reusable, self-sterilizing bandage. It can treat all forms of injury and illness, from poisoning to burns to trauma. Characters simply apply the bandage to the wound and let the nanobots do the work. It removes pain and discomfort and speeds healing. For especially severe injuries, physical first aid such as setting bones and removing projectiles may be necessary (gamemaster's choice). If the wounds are too severe (the patient has suffered more than five wounds), the unit places the patient in medical stasis and radios for emergency services.",Trivial,,TRUE,EP.333,
Pressure Tent (2 person),Pressure Tent,Survival Gear,"This is a collapsible shelter for two people, plus gear. Pressure tents contain heating and will inflate with a breathable atmosphere using a breather-like device.",Low,,TRUE,SW.168,
Pressure Tent (4 person),,Survival Gear,"This is a collapsible shelter for four people, plus gear. Pressure tents contain heating and will inflate with a breathable atmosphere using a breather-like device.",Moderate,,TRUE,SW.168,
Repair Spray,,Survival Gear,"This nanobot generator creates nanobots designed to repair synthmorphs, vehicles, and other common objects. Repair spray contains the specifications and plans for almost all commonly used synthmorphs and devices and is a ubiquitous household item. If it does not contain the specifications for something it is being used to repair, it must query the object's voice for these details, otherwise it cannot repair it. Simply touch it to the damaged area, push the button on top, and it sprays out a number of nanobots sufficient to make repairs. These nanobots repair 1d10 points of damage per 2 hours. Once all damage is restored, the nanobots repair wounds at the rate of 1 per day. Repair spray also cleans and polishes items and returns them to a pristine and new state. Repair spray is not effective on any object with more than 3 wounds, but it provides a +30 to all repair rolls on anything too badly damaged for it to fully repair.",Low,,TRUE,EP.333,
Shelter Dome,,Survival Gear,"A variant of the emergency bubble, this package unfolds into a dome with a 2.5-meter ceiling and a floor 4 meters across. To safely use this shelter, it must be staked down to the surface it is placed on.",Moderate,,TRUE,EP.333,
Small Air Mask,Air Mask,Survival Gear,A simple breathing mask with a 2 hour air supply.,Trivial,,TRUE,PO.157,
Small Oxygen Candles,,Survival Gear,Provides 15 man hours of oxygen when ignited.,Low,,TRUE,PO.157,
Smart Anchors,,Survival Gear,This harness deploys up to 6 cables with a reach of 10m to fasten to a surface. When needed the device will retract then re-deploy cables.,Low,,TRUE,RW.193,
Spindle,,Survival Gear,"A spindle is an advanced nanotechnology generator that produces a super-strong cable. It can produce up to 2 kilometers of 0.2 millimeter diameter line than can support up to 250 kilograms before it needs more raw materials. The spindle can produce up to 20 meters of cable every second. It can produce line in a continuous length or cut the cable it produces to any length. Spindles can also reabsorb their cable, retracting it at a rate of 5 m per second. As long as it is recharged and has small amounts of additional material added every 1,000 hours of use, a spindle can keep producing and retracting cable indefinitely. By setting the maximum production speed at 10 m/second a character with a spindle can safely jump off a building and land safely, using the cable to slow their descent.",Moderate,,TRUE,EP.333,
Spindle Climber,,Survival Gear,"This device attaches to a spindle and transforms it into a highly effective climbing device. The spindle climber has two functions. First, it attaches hardened tips to the spindle's cable and fires it at high speed, up to 50 meters, with sufficient force to imbed the tip into almost any sufficiently durable surface. Second, the spindle climber can pull itself and up to 250 kg up the cable at a speed of up to 2 m/sec. A spindle climber has enough power to shoot and pull up the cable 50 times before it must be recharged. A spindle fits inside a spindle climber.",Low,,TRUE,EP.333,
Survival Belt,,Survival Gear,"This widely used item is a collection of tools that are useful or essential to gatecrashers, all in a comfortable and durable belt with more than a dozen pockets. The standard survival belt contains the following:

• Basic Tool Kit (p. 326, EP)
• Breadcrumb Positioning System (p. 332, EP)
• Electronic Rope (10 meters) (p. 332, EP)
• Emergency Rations (p. 158) • Filter Straws (3) (p. 159)
• Flashlight (p. 333, EP)
• Flex Cutter (p. 334, EP)
• 2 Nanobandages (p. 333, EP)
• Solar Recharger (p. 155)
• Radio Booster (p. 314, EP)
• Recon Hopper (p. 161) or Recon Flyer (p. 161)
• Repair Spray (p. 333, EP) 
• Utilitool (p. 326, EP)
• Viewers (p. 326, EP) ",Moderate,,TRUE,GC.159,
Survival Cold Weather gear,,Survival Gear,"Cold weather suit w/ face mask and goggles protects from cold temperatures to -100C, allows full maneuverability, partially pressurized.",Low,,TRUE,SW.167,
Adaptive Interface,,Xenoarcheology Gear,"One of the most hoped-for finds on any gatecrashing expedition is any piece of functional alien electronics—especially any alien data storage medium still containing data. In the rare circumstances that such a relic is found, the adaptive interface is the tool designed to enable transhumans to understand, activate, and potentially interact with it.

This medium-sized device includes a series of smart-material connectors that allow this unit to be connected to almost any conceivable piece of technology. It is also equipped with sensors and a small nanoswarm that can analyze the device’s structure and otherwise try to discern its inner workings. Once connected, the adaptive interface sends minute amounts of power into the alien device, monitors all outputs, and systematically attempts to identify and map the circuitry and logic patterns in the device as well as the safe amount and type of current used to power it. The interface’s AI compares the scans and any detected data structures to databases of known and speculated designs (Academics: Computer Science 80, Academics: Electrical Engineering 80, Academics: Xenodata 60, Infosec 40, Interfacing 40, Programming 40).

An adaptive interface can be set up to analyze on its own (use the AI’s skills) or a character can take advantage of it to conduct their own study (with the  AI providing teamwork). Attempts to figure out how to activate or use an alien device, read data on a relic, figure out an item’s purpose, etc. are Task Actions with a suggested timeframe of at least 1 hour and quite possibly longer. The alien nature of most devices applies a –30 modifier to such tests. The gamemaster should adjust this timeframe and apply additional modifiers as appropriate to the device.

While engaged in probing an alien device, the adaptive interface enters into an offline mode, severing all wireless connections; this is safety feature to prevent the interface from spreading an infection to other devices.

The primary limit on this unit is that it is not designed to work with biological technology or with nanotechnology considerably in advance of those available to transhumanity. As a result, this unit cannot be used on bluetrees, myst trees, or any similar non-standard devices.",High,,TRUE,GC.160,
Faraday Container,,Xenoarcheology Gear,"This is a specimen container (p. 330, EP) that is encased in a superconductive charged wire mesh, blocking all radio signals, electrical charges, and electromagnetic radiation from getting in or out. It is commonly used to isolate unknown alien devices.",Low,,TRUE,GC.160,
Scourer Swarm,Scourers,Xenoarcheology Gear,"Scourers are a type of nanoswarm/microswarm (p. 328, EP) and follow all of the normal rules for such. Scourers are used for xenoarcheological digs. They are programmed to analyze the dirt, regolith, ice, or other ground covering in a particular area and then to systematically remove it, layer by layer. Anything that is found that does not match this matter has its location tagged, then the swarm uses ultrasound to clear the item and clean it. Uncovered items are imaged, tagged again, and their data uploaded to a three-dimensional map of the dig site and all objects found.",Moderate,,TRUE,GC.160,
Equipment,Equipment,,A placeholder for found objects,,,FALSE,,
Information,Information,,A placeholder for found information,,,FALSE,,
Software,Software,,A placeholder for found software,,,FALSE,,
